GTDB R95 genus	Number of genomes	Number of NCBI genera	List of NCBI genera
g__RUG240	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-584	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BOG-1457	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-104	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BOG-994	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-O23	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__AG-409-B13	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__HRBIN34	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BM705	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__NAK82	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PTKV01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG440	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-378	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PRDV01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEB-7	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEN-943	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-382	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG001	1	1	g__Olsenella 100.0%
g__BM004	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QFNR01	1	1	g__Francisella(f__Francisellaceae) 100.0%
g__BM506	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PSRN01	1	1	g__Bdellovibrio 100.0%
g__BOG-938	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BM521	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-26	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ZC4RG38	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-5	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QHCE01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SW-4-49-11	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ZC4RG34	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG114	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Serratia_E	1	1	g__Serratia(f__Yersiniaceae) 100.0%
g__PTKQ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1178	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-P03	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__PALSA-1004	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN40	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN30	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QAND01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-100	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-410-N11	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-425	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1355	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEB-25	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-33	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-575	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-42	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG730	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QS-8-64-29	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QHCF01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-444	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-611	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG844	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG033	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QFOR01	1	1	g__Shinella 100.0%
g__AG-409-G20	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__HRBIN29	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-363-A16	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__FEN-1320	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1005	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RSA1	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SMO-BIN1	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Starkeya_A	1	1	g__Starkeya 100.0%
g__BM507	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BOG-935	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-46	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BOG-944	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEN-1322	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEB-17	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEN-1329	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1347	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BMS3ABIN01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1180	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PSRF01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UDEA-SF1	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BMS3BBIN02	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BOG-1370	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BMS3ABIN03	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1335	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-181	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RSA5	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-540	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PSRJ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SW-11-45-7	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-M05	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__SZUA-160	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-363-B04	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__Muirbacterium	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN26	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PSRQ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Micavibrio_B	1	1	g__Micavibrio(f__) 100.0%
g__BMS3ABIN06	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1332	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QFOX01	1	1	g__Azospirillum(f__Rhodospirillaceae) 100.0%
g__GN02-873	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1176	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-D09	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__SZUA-533	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Methyloumidiphilus	1	1	g__Candidatus Methyloumidiphilus(f__) 100.0%
g__AG-409-J16	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__BMS3ABIN04	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-L14	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__PRDT01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEN-1177	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HCM1	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Carbobacillus	1	1	g__Candidatus Carbobacillus(f__) 100.0%
g__HRBIN35	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BMS3BBIN04	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-179	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BMS3ABIN14	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1337	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BM003	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-493	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1336	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN23	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QS-5-54-17	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SW-6-46-9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-415	1	1	g__Sulfuricurvum(f__Helicobacteraceae) 100.0%
g__HRBIN21	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-363-O15	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__FEB-22	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEN-1173	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEN-1226	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-432-D11	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__HRBIN39	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PJMG01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-343-D04	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN11	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-L18	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__PNEW01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN25	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Pseudoxanthomonas_B	1	1	g__Pseudoxanthomonas 100.0%
g__SZUA-124	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN24	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-B05	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__Sulfobacillus_B	1	1	g__Sulfobacillus(f__Clostridiales Family XVII. Incertae Sedis) 100.0%
g__HRBIN17	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ULC077BIN1	1	1	g__Leptolyngbya 100.0%
g__PPGL01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-363-O06	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__SZUA-545	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-250	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Sulfobacillus_C	1	1	g__Sulfobacillus(f__Clostridiales Family XVII. Incertae Sedis) 100.0%
g__Rhodobacter_F	1	1	g__Rhodobacter 100.0%
g__FEN-1388	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PJMF01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-J19	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__HOT-345	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN37	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BOG-1184	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-N21	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__AG-409-A19	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__RSA17	1	1	g__Thermaerobacter(f__Clostridiales Family XVII. Incertae Sedis) 100.0%
g__HRBIN33	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-P01	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__FEN-1346	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-409-I11	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__PTLJ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__NZ13-RE01	1	1	g__Dictyoglomus 100.0%
g__Mesorhizobium_B	1	1	g__Mesorhizobium(f__Phyllobacteriaceae) 100.0%
g__HRBIN32	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN36	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-252	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HRBIN15	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AAA071-K20	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-363-N20	1	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__QHVH01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-411	1	1	g__Beggiatoa(f__Thiotrichaceae) 100.0%
g__Thioglobus_B	1	1	g__Candidatus Thioglobus(f__) 100.0%
g__PTKB01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__FEN-1185	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS874	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS929	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1851	1	1	g__Clostridium(f__Clostridiaceae) 100.0%
g__UMGS1449	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1384	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1611	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1397	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS915	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1839	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS172	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1754	1	1	g__Clostridium(f__Clostridiaceae) 100.0%
g__UMGS2070	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS856	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1858	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1387	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1572	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS2055	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1883	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS2037	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1766	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1690	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS2016	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1217	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1633	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1783	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1880	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1649	1	1	g__Clostridium(f__Clostridiaceae) 100.0%
g__UMGS1648	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1810	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1224	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1840	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1826	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1251	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1388	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS2068	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS743	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1707	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1418	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1585	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1225	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1696	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1864	1	1	g__Clostridium(f__Clostridiaceae) 100.0%
g__UMGS1322	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1540	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1908	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1253	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS692	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAADGL01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1472	1	1	g__Blautia 100.0%
g__UMGS966	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAADGU01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS416	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1889	1	1	g__Ruminococcus 100.0%
g__UMGS1933	1	1	g__Clostridium(f__Clostridiaceae) 100.0%
g__UMGS995	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1502	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS263	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1109	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAADGA01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1326	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1494	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS75	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAADGG01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS973	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1976	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS731	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1470	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1045	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1293	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAADGM01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1124	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1260	1	1	g__Pelosinus(f__Sporomusaceae) 100.0%
g__UMGS1519	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1279	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAADGN01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAADGY01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS755	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAADGV01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAADHD01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1487	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1307	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1518	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS693	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1002	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1484	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1338	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1532	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS680	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9636	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11373	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWQG01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B26-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B28-G17	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B36-G15	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PLA5	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UCB3	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QEVD01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B32-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSED10-83	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWQF01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNFN01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PR03	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PLA3	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AWTP1-30	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B17-G2	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PRO6	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8349	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AWTP1-18	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8914	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AWTP1-13	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B30-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNDG01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9570	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11371	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RPQH01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8958	1	1	g__Syntrophus(f__Syntrophaceae) 100.0%
g__CAACVY01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B118-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS577	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWF	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AWTP1-9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B62-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS599	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B15-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNFE01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10197	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CR-1	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNEE01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS621	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RPQK01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PRO5	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10347	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J094	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWNQ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWXJ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J055	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9089	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J051	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ATN2	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J137	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSED10-376	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J111	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J017	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8828	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J089	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J078	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J124	1	1	g__Bdellovibrio(f__Bdellovibrionaceae) 100.0%
g__B2-G16	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSED10-335	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J075	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8130	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J088	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J134	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J084	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J102	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RPQJ01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J085	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J130	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11359	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12270	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J058	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J119	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWPR01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B21-G15	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Zgenome-0002	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSED11-302	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8202	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWOD01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J093	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10324	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B16-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWLF01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J028	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MED-G85	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11682	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWME01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J097	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QWQI01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RPPU01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J135	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8133	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWND01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J125	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J065	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J090	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J153	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11236	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J108	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J048	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J132	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RQOF01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9076	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWPN01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B6-G9	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ATN3	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J054	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J095	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12183	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J061	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J103	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DDPF01	1	1	g__Legionella 100.0%
g__J007	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWNM01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWVT01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10349	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MED-G78	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UCB2	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__J113	1	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PIWD01	1	1	g__(f__Bradyrhizobiaceae) 100.0%
